T,B,C11,C12,C44
4,748.371941954,1148.33696541,548.389430225,294.201618908
7,748.371445109,1148.33621317,548.389061078,294.201306244
10,748.369686315,1148.33353895,548.387759998,294.200205052
13,748.36528336,1148.32682067,548.384514704,294.197472153
16,748.356093268,1148.31275788,548.377760962,294.191845698
19,748.338923852,1148.28642845,548.365171552,294.181529569
22,748.309465537,1148.24113509,548.343630761,294.164191976
25,748.262663235,1148.16890392,548.309542894,294.137150696
28,748.193366021,1148.06146869,548.259314686,294.097661683
31,748.096939762,1147.91125581,548.18978174,294.043186028
34,747.969657292,1147.71205506,548.098458409,293.971570609
37,747.808843444,1147.45931444,547.983607948,293.881135851
40,747.612841725,1147.15011624,547.844204471,293.770693168
43,747.38088571,1146.78299052,547.679833308,293.639515094
46,747.112934709,1146.35764256,547.490580782,293.487282172
49,746.809508602,1145.8746798,547.276923001,293.314019499
52,746.471545547,1145.33537886,547.039628893,293.120031504
55,746.100278487,1144.7414712,546.77968213,292.905841103
58,745.697140008,1144.09499934,546.498210341,292.672134625
61,745.26368622,1143.39818671,546.196435973,292.41971514
64,744.801536441,1142.65335035,545.875629485,292.149462903
67,744.312330663,1141.86284173,545.537075132,291.862303095
70,743.797695587,1141.02899423,545.182046264,291.559180256
73,743.259220183,1140.1540916,544.811784476,291.241038432
76,742.698437164,1139.2403442,544.427483648,290.908805976
79,742.116813193,1138.28988078,544.030279398,290.563384559
82,741.515739153,1137.30472824,543.621244609,290.205641335
85,740.896527102,1136.28681782,543.201381743,289.83640385
88,740.260407835,1135.23797327,542.771625116,289.456456803
91,739.608531505,1134.15991843,542.332838044,289.066540781
94,738.941968719,1133.05427685,541.885814652,288.667351592
97,738.261712601,1131.92257145,541.431283176,288.259540919
100,737.568684022,1130.7662338,540.969909132,287.843718261
103,736.863732566,1129.58660239,540.502297655,287.42045144
106,736.147642831,1128.38493332,540.028997585,286.990269408
109,735.42113773,1127.16240036,539.550506413,286.553664103
112,734.684881926,1125.92010045,539.067272663,286.111092485
115,733.939486941,1124.6590583,538.57970126,285.662979245
118,733.185515215,1123.38023555,538.088155046,285.2097187
121,732.42348213,1122.08452669,537.592959851,284.75167666
124,731.653862099,1120.77277175,537.094407275,284.289193098
127,730.877089371,1119.44574994,536.592759088,283.822583787
130,730.093563537,1118.10419673,536.088246942,283.352141906
133,729.303651234,1116.74879834,535.58107768,282.878139962
