T,,B,,C11,C12,,C13,,C33,,C44,,C66
4,,925.280053399,,1551.45397653,678.390687742,,580.116462484,,1553.50444138,,317.241366946,,346.338858378
7,,925.276632282,,1551.45013388,678.3814487,,580.115920797,,1553.50087339,,317.238040958,,346.332774318
10,,925.262424812,,1551.43383421,678.348866345,,580.111474693,,1553.48503418,,317.226844134,,346.312662445
13,,925.234818145,,1551.40195424,678.289136824,,580.10147192,,1553.45363423,,317.206702231,,346.276767017
16,,925.192154146,,1551.35244772,678.201032962,,580.084409185,,1553.40438396,,317.17746364,,346.225022828
19,,925.132993355,,1551.2835005,678.084160361,,580.058725204,,1553.33518109,,317.139294842,,346.157963365
22,,925.055918156,,1551.19332457,677.93818679,,580.022860158,,1553.24394611,,317.092381415,,346.076161074
25,,924.959603808,,1551.0802564,677.762702693,,579.975394271,,1553.12875059,,317.036846431,,345.980056389
28,,924.842942112,,1550.94290675,677.55736124,,579.91514121,,1552.9879806,,316.97278401,,345.870006122
31,,924.705107124,,1550.78023713,677.32203472,,579.841166057,,1552.82040799,,316.900313461,,345.74638193
34,,924.545563622,,1550.59156235,677.056898232,,579.752764758,,1552.62518951,,316.819616025,,345.609640929
37,,924.364036551,,1550.37651222,676.762441304,,579.649424206,,1552.40181302,,316.730947873,,345.460354303
40,,924.160471522,,1550.1349808,676.439434431,,579.530787807,,1552.15004799,,316.634636368,,345.29920603
43,,923.934995988,,1549.86708203,676.088881051,,579.396627583,,1551.86989109,,316.531069087,,345.126974123
46,,923.687888888,,1549.57310799,675.711968532,,579.246829286,,1551.56152911,,316.42067899,,344.944506465
49,,923.419554222,,1549.25350318,675.310019001,,579.081376851,,1551.22530933,,316.303931152,,344.752695969
52,,923.130502175,,1548.90883841,674.884451963,,578.900346726,,1550.86171515,,316.18130958,,344.552458455
55,,922.821331673,,1548.53979234,674.436750798,,578.703897998,,1550.47134934,,316.053307866,,344.344714126
58,,922.492714442,,1548.14713272,673.968432932,,578.492264874,,1550.0549152,,315.920420077,,344.130372476
61,,922.145380992,,1547.73169965,673.48102781,,578.265748877,,1549.61319776,,315.783134218,,343.910320434
64,,921.780107694,,1547.29439012,672.976057911,,578.024709124,,1549.14705345,,315.641926695,,343.685413303
67,,921.397702834,,1546.83614198,672.455019829,,577.769553732,,1548.65738865,,315.497258308,,343.456467792
70,,920.998995354,,1546.35791995,671.919372267,,577.500729751,,1548.14514982,,315.349570885,,343.224257117
73,,920.584823952,,1545.86070343,671.370525321,,577.218714822,,1547.61130527,,315.19928482,,342.989507966
76,,920.156027479,,1545.34547428,670.809830226,,576.924008764,,1547.05683685,,315.046797163,,342.752898042
79,,919.713435981,,1544.81320695,670.238573366,,576.617124535,,1546.48272795,,314.89248135,,342.515055607
82,,919.257865023,,1544.2648597,669.657974176,,576.29858353,,1545.88995355,,314.736685415,,342.276559173
85,,918.790108594,,1543.70136869,669.069178466,,575.968907937,,1545.27947269,,314.579733246,,342.037938375
88,,918.310935045,,1543.12364107,668.473258811,,575.628616255,,1544.6522233,,314.421923731,,341.799675304
91,,917.821083967,,1542.53255177,667.871216062,,575.278219305,,1544.00911477,,314.263531944,,341.562206257
