,T,,,,volume,,,energy,,,,
,4,,,,618.4704746645,,,-195.482519901,,,,0.046975992
,7,,,,618.4709367263,,,-195.4825201444,,,,0.65418957
,10,,,,618.4729022479,,,-195.4825206938,,,,1.5666727
,13,,,,618.476750394,,,-195.4825217063,,,,2.6486913
,16,,,,618.4827311718,,,-195.4825233896,,,,3.8580101
,19,,,,618.49106707,,,-195.4825260192,,,,5.1864334
,22,,,,618.5019777482,,,-195.4825299334,,,,6.6290708
,25,,,,618.5156676304,,,-195.4825355134,,,,8.1728293
,28,,,,618.532307886,,,-195.4825431589,,,,9.7972424
,31,,,,618.552027096,,,-195.4825532676,,,,11.479251
,34,,,,618.5749109686,,,-195.4825662226,,,,13.196974
,37,,,,618.6010069998,,,-195.4825823842,,,,14.931425
,40,,,,618.6303305347,,,-195.4826020875,,,,16.666757
,43,,,,618.6628703686,,,-195.4826256408,,,,18.389861
,46,,,,618.6985932805,,,-195.4826533264,,,,20.089806
,49,,,,618.7374475762,,,-195.4826854015,,,,21.757381
,52,,,,618.7793659184,,,-195.4827220994,,,,23.384791
,55,,,,618.8242677313,,,-195.4827636302,,,,24.965476
,58,,,,618.8720613719,,,-195.4828101827,,,,26.494018
,61,,,,618.9226461765,,,-195.4828619247,,,,27.96608
,64,,,,618.9759144138,,,-195.4829190045,,,,29.378356
,67,,,,619.0317531435,,,-195.482981552,,,,30.72851
,70,,,,619.0900459526,,,-195.4830496795,,,,32.015107
,73,,,,619.1506745465,,,-195.483123483,,,,33.237525
,76,,,,619.2135201678,,,-195.4832030435,,,,34.395859
,79,,,,619.278464833,,,-195.4832884274,,,,35.490823
,82,,,,619.3453923831,,,-195.4833796886,,,,36.523648
,85,,,,619.4141893517,,,-195.4834768685,,,,37.495986
,88,,,,619.4847456563,,,-195.4835799978,,,,38.40982
,91,,,,619.556955138,,,-195.4836890972,,,,39.267388
,94,,,,619.6307159548,,,-195.4838041782,,,,40.071103
,97,,,,619.705930855,,,-195.4839252443,,,,40.823499
,100,,,,619.7825073428,,,-195.4840522913,,,,41.527176
,103,,,,619.8603577603,,,-195.4841853088,,,,42.184756
,106,,,,619.9393992897,,,-195.4843242802,,,,42.798846
,109,,,,620.0195539041,,,-195.4844691838,,,,43.372014
,112,,,,620.1007482689,,,-195.4846199933,,,,43.906765
,115,,,,620.1829136092,,,-195.4847766782,,,,44.405523
,118,,,,620.2659855484,,,-195.4849392045,,,,44.870622
,121,,,,620.3499039333,,,-195.4851075351,,,,45.304295
,124,,,,620.4346126395,,,-195.4852816301,,,,45.70867
,127,,,,620.5200593782,,,-195.4854614473,,,,46.085767
,130,,,,620.606195496,,,-195.4856469425,,,,46.437497
,133,,,,620.6929757696,,,-195.4858380699,,,,46.765666
,136,,,,620.7803582167,,,-195.4860347822,,,,47.07197
,139,,,,620.8683038959,,,-195.4862370308,,,,47.358006
,142,,,,620.9567767253,,,-195.4864447665,,,,47.625271
,145,,,,621.0457433041,,,-195.486657939,,,,47.875168
,148,,,,621.1351727407,,,-195.4868764976,,,,48.109008
,151,,,,621.2250364866,,,-195.4871003911,,,,48.328019
,154,,,,621.3153081922,,,-195.4873295682,,,,48.533345
,157,,,,621.4059635491,,,-195.4875639772,,,,48.726056
,160,,,,621.4969801613,,,-195.4878035665,,,,48.907149
,163,,,,621.5883374207,,,-195.4880482845,,,,49.077555
,166,,,,621.6800163761,,,-195.4882980797,,,,49.238141
,169,,,,621.7719996301,,,-195.4885529011,,,,49.389715
,172,,,,621.864271226,,,-195.4888126975,,,,49.533031
,175,,,,621.9568165642,,,-195.4890774184,,,,49.668793
,178,,,,622.0496222932,,,-195.4893470137,,,,49.797655
,181,,,,622.142676239,,,-195.4896214334,,,,49.920228
,184,,,,622.2359673196,,,-195.4899006283,,,,50.037083
,187,,,,622.329485476,,,-195.4901845495,,,,50.148752
,190,,,,622.4232216005,,,-195.4904731489,,,,50.255731
,193,,,,622.5171674796,,,-195.4907663785,,,,50.358486
,196,,,,622.6113157311,,,-195.4910641913,,,,50.457449
,199,,,,622.7056597522,,,-195.4913665407,,,,50.553029
,202,,,,622.8001936732,,,-195.4916733807,,,,50.645604
,205,,,,622.8949123048,,,-195.4919846659,,,,50.735534
,208,,,,622.9898111074,,,-195.4923003515,,,,50.823151
,211,,,,623.0848861356,,,-195.4926203936,,,,50.908769
,214,,,,623.1801340156,,,-195.4929447484,,,,50.992686
,217,,,,623.2755519092,,,-195.4932733731,,,,51.075181
,220,,,,623.3711374837,,,-195.4936062256,,,,51.156515
,223,,,,623.4668888807,,,-195.4939432641,,,,51.236939
,226,,,,623.5628046922,,,-195.4942844477,,,,51.316686
,229,,,,623.6588839399,,,-195.4946297359,,,,51.39598
,232,,,,623.7551260497,,,-195.494979089,,,,51.475033
,235,,,,623.8515308349,,,-195.4953324679,,,,51.554049
,238,,,,623.9480984848,,,-195.495689834,,,,51.633219
,241,,,,624.044829526,,,-195.4960511493,,,,51.712727
,244,,,,624.1417248432,,,-195.4964163766,,,,51.792752
,247,,,,624.2387856332,,,-195.4967854789,,,,51.873466
,250,,,,624.3360134179,,,-195.4971584203,,,,51.955031
,253,,,,624.4334100149,,,-195.4975351649,,,,52.037608
