time,area_al2cu_eta1,area_al2cu_eta2,area_al3ni_eta3,area_al3ni_eta4,area_al3ni_eta5,area_al_eta6
0,25902.432232656,25457.51108317,5019.481642672,7860.9653404568,14594.041229196,281165.56847187
500000,25420.050962544,25016.454942652,5012.1956414975,7852.9238693352,14566.764902866,282131.60968111
872000,24853.245020525,24485.394611369,5004.8009716823,7847.2648742573,14537.408468416,283271.88605375
1192000,24346.971226568,23995.103504428,4995.5908853327,7842.9597309811,14508.259323642,284311.11532905
1512000,23898.761174185,23551.207355244,4982.1839542717,7836.6205006462,14476.416731982,285254.81028367
1832000,23506.007649546,23168.526023399,4965.156451039,7826.1803780766,14442.486054532,286091.64344341
2152000,23116.908699313,22802.944429477,4946.8056776003,7811.8444410797,14406.988407267,286914.50834526
2472000,22718.096695813,22429.820923093,4929.0503011549,7796.0923140754,14370.742061578,287756.19770429
2792000,22299.89848528,22031.009836628,4912.5668165248,7781.5297382949,14334.430057589,288640.56506568
3112000,21865.262797342,21602.976007025,4897.3650584456,7769.5327832738,14298.815547483,289566.04780643
3432000,21455.738743668,21194.110579561,4882.3415830186,7759.0736467195,14264.325109258,290444.41033777
3752000,21083.80890213,20832.804857385,4865.6029708941,7747.9164035304,14231.193149936,291238.67371613
4072000,20726.727887502,20496.892958812,4846.7700377943,7734.6233052111,14199.260061292,291995.72574939
4392000,20356.784129899,20151.1192963,4827.8395819774,7719.6006407388,14168.698036075,292775.95831501
4712000,19961.118470371,19769.852525508,4811.0857394166,7703.7393013824,14139.639581301,293614.56438202
5032000,19566.700372537,19372.370662578,4796.0744086179,7686.989082705,14113.022147664,294464.8433259
5352000,19202.269563402,19002.569021418,4777.9050885687,7668.7713328579,14089.523304051,295258.9616897
5672000,18858.422730249,18666.423338017,4749.2289588075,7649.6711808682,14069.438796542,296006.81499552
5992000,18515.558007779,18342.241350801,4726.707216146,7630.4269242194,14052.292222827,296732.77427823
6312000,18164.186739338,18008.176837281,4708.596767845,7610.6557986785,14036.821114032,297471.56274283
6632000,17806.737882595,17655.212302339,4691.2774767955,7586.1910549526,14022.143370937,298238.43791238
6952000,17454.806678673,17293.254892119,4678.0809992422,7556.7345609675,14008.673442244,299008.44942675
7272000,17114.449564262,16942.611577653,4665.6129332915,7539.3454939495,13996.54710515,299741.43332569
7592000,16785.883096272,16618.790703966,4651.3979105215,7523.9068767975,13985.597667174,300434.42374527
7912000,16465.378122365,16321.302492806,4635.243538979,7508.7742802631,13975.794294258,301093.50727133
8232000,16144.510613117,16021.54984347,4618.3201793922,7493.2739557269,13967.362611501,301754.98279679
8552000,15817.67081176,15696.292438224,4600.4775929035,7482.490167896,13960.169890964,302442.89909825
8872000,15490.411358422,15354.479807037,4583.1240122326,7477.327528121,13953.875982343,303140.78131184
9192000,15173.612786352,15027.920133931,4569.0748671768,7472.7969281912,13948.478408009,303808.11687634
9512000,14871.11089971,14736.909095595,4560.4484787814,7467.1997508054,13944.897035169,304419.43473994
9832000,14574.755578934,14464.459945752,4556.1448550232,7462.6789573055,13943.970396111,304997.99026687
10152000,14275.180445125,14181.624479768,4553.3978123875,7460.3070575218,13944.849906648,305584.64029855
10472000,13972.062287917,13881.92843617,4551.2702270471,7458.4669287646,13945.432989615,306190.83913049
10792000,13671.499996441,13574.709760214,4550.0583570803,7457.416005489,13945.440989594,306800.87489118
11112000,13381.479495238,13274.640085627,4549.3897950606,7457.7500752569,13945.7805942,307390.95995462
11432000,13100.94005704,12996.463402462,4548.4503550291,7457.6140346954,13946.510249931,307950.02190084
11752000,12822.736604325,12736.241145555,4546.6717154947,7456.3132584169,13946.206472442,308491.83080377
12072000,12544.821605925,12479.804700834,4544.3085613642,7453.9336762195,13943.997138675,309033.13431698
12392000,12267.394635152,12216.386764186,4542.3980337355,7450.7706766141,13942.12729999,309580.92259032
12712000,11991.76200862,11937.759964946,4541.2733839328,7447.087889838,13944.493676997,310137.62307567
13032000,11722.411909867,11651.988579878,4539.3911692774,7443.9064065624,13948.243047928,310694.05888649
