time,area_al2cu_eta1,area_al2cu_eta2,area_al3ni_eta3,area_al3ni_eta4,area_al3ni_eta5,area_al_eta6
0,25902.432232656,25457.51108317,5019.481642672,7860.9653404568,14594.041229196,281165.56847187
460000,25534.371102507,25119.237917159,5026.6822812938,7872.1726054145,14596.283295354,281851.25279827
860000,25015.581982022,24633.631838812,5034.9292116405,7886.6972561925,14595.442694618,282833.71701672
1260000,24439.811000044,24077.872214784,5042.0081540768,7904.9865075315,14593.113486411,283942.20863715
1660000,23920.17790983,23562.326781696,5044.9363633964,7921.8208378401,14589.999816255,284960.73829098
2060000,23466.68826732,23119.840569404,5044.3250196677,7933.6481894536,14586.382723105,285849.11523105
2460000,23014.035159871,22695.083589198,5042.9441455055,7942.2118321652,14582.504497046,286723.22077622
2860000,22546.611818347,22253.721561684,5041.4319199638,7952.0818107707,14578.686393277,287627.46649596
3260000,22054.776669292,21772.267946229,5038.2503986842,7965.6633965673,14575.267413193,288593.77417604
3660000,21572.005316798,21286.343940626,5031.8814212149,7981.0065552855,14572.540851134,289556.22191494
4060000,21132.350665819,20857.416580052,5023.6619742884,7994.1481563991,14570.482186568,290421.94043688
4460000,20713.903372367,20465.287649842,5017.0368975198,8004.3403766938,14569.188248768,291230.24345481
4860000,20280.946711394,20054.332094215,5013.7586580512,8012.9800820145,14568.795574932,292069.18687939
5260000,19824.399881517,19599.036734224,5007.3533778652,8020.3472412831,14570.006818752,292978.85594636
5628000,19418.456066772,19180.498106349,4993.3544039759,8025.0584114353,14572.961314552,293809.67169692
5948000,19090.136978241,18850.893641495,4991.1910051434,8027.7818625248,14577.240021993,294462.7564906
6268000,18771.809456417,18540.275145266,4986.9032973763,8029.1389674099,14583.24866767,295088.62446586
6588000,18451.400020328,18233.693017209,4984.8486508741,8027.1503145708,14590.892827383,295712.01516964
6908000,18125.262579315,17919.741921822,4986.7251532161,8017.5104867744,14599.314594397,296351.44526448
7228000,17796.692957835,17589.707599348,4989.5895524136,8014.6549846787,14607.582551855,297001.77235387
7548000,17474.238382728,17252.925899669,4992.3947988589,8020.0959788502,14615.849834913,297644.49510498
7868000,17161.147703879,16931.109308631,4994.7351892236,8029.5619957302,14628.81067281,298254.63512973
