time,area_al2cu_eta1,area_al2cu_eta2,area_al3ni_eta3,area_al3ni_eta4,area_al3ni_eta5,area_al_eta6
0,25902.432232656,25457.51108317,5019.481642672,7860.9653404568,14594.041229196,281165.56847187
573000,25629.052930274,25180.879135913,5132.0881484424,7991.1418878886,14757.739730185,281309.0981673
1178000,25160.961815196,24689.638205325,5331.7843828081,8232.1722046391,15043.612166688,281541.83122534
1783000,24608.390232162,24116.722644979,5574.1339111123,8525.1224697486,15402.068739366,281773.56200263
2388000,24057.576362424,23544.805106769,5836.4742731007,8836.9879933286,15788.451336511,281935.70492787
2993000,23536.537389076,22993.620865118,6102.10801529,9159.1317654186,16169.248833183,282039.35313192
3598000,23025.033035815,22460.376793463,6364.3269656748,9470.1173139665,16536.805316526,282143.34057456
4203000,22503.423440027,21903.65875642,6638.0274292121,9786.6648560141,16904.973648621,282263.25186971
4808000,21974.240969332,21329.545143219,6918.4606742713,10124.922879219,17288.754733995,282364.07559997
5413000,21456.190523332,20775.826302544,7212.7524667867,10469.671474911,17690.002137106,282395.55709532
6018000,20956.882548752,20231.896858635,7521.2035234257,10828.739158759,18096.366595417,282364.91131501
6623000,20463.852230148,19686.060168259,7828.0919001581,11190.076084794,18494.963986015,282336.95563063
7228000,19967.700667146,19137.054779673,8138.1977716185,11544.233499175,18887.528549125,282325.28473326
7833000,19476.906504347,18579.479445811,8458.2193475006,11915.648790939,19286.678151693,282283.06775971
8438000,19000.136148204,18041.883189246,8784.1260057488,12299.620985251,19699.576682079,282174.65698947
9043000,18532.831473684,17509.347921083,9126.1388625269,12691.524606162,20119.441890829,282020.71524572
9648000,18068.347807424,16969.612809093,9470.4430690776,13089.550280122,20534.964012135,281867.08202215
10253000,17607.88511369,16438.702048038,9811.365050159,13479.082344252,20944.733542338,281718.23190152
10858000,17156.243889761,15917.313057254,10161.07698284,13872.982914737,21357.538697147,281534.84445826
11463000,16714.283064356,15403.213832324,10520.104800798,14281.319502675,21780.568939636,281300.50986021
12068000,16278.758203855,14905.315475758,10882.309800981,14691.149826231,22211.361067127,281031.10562605
12673000,15847.554771921,14405.31424288,11251.277598838,15106.218386388,22641.981913717,280747.65308626
13278000,15422.290053889,13905.515240431,11619.324572939,15527.046060909,23068.436313163,280457.38775867
13883000,15005.992750799,13431.754667676,11987.087174065,15936.264645708,23494.369602255,280144.5311595
14488000,14597.291325145,12977.424802055,12362.717318085,16344.235059797,23926.718343635,279791.61315128
15093000,14193.461649428,12500.806789035,12747.750727305,16789.485329718,24367.416672079,279401.07883244
15698000,13795.06844732,12020.708676691,13132.501398294,17254.456219295,24811.90243466,278985.36282374
16303000,13404.45704326,11565.269521338,13521.790192718,17700.913865885,25254.116907136,278553.45246966
16908000,13021.375457986,11096.745919096,13923.09506909,18166.779219443,25693.352975771,278098.65135861
17513000,12643.635409737,10535.411906342,14343.904037004,18730.185942193,26135.293963609,277611.56874112
18118000,12270.803164416,9866.1806200844,14802.503329514,19398.82394145,26584.95874082,277076.73020372
